==========================================================================================================================================================================
SIDE BY SIDE - B1 vs B2 - coupling 0.9 - CFAR detection (observer 0.69.0)
Both directions detected. Two complete rounds.
==========================================================================================================================================================================

time     | B1 T#  state       phase          grow  temp   co2  hum  | B2 T#  state       phase          grow  temp   co2  hum  |
07:34:20 | B1                                                            | B2   34 push         push           0.119  37.7  518 0.760 | 
07:34:25 | B1   23 hold         push           0.626  29.7  517 0.723 | B2                                                            | 
07:34:41 | B1   24 hold         push           0.622  29.8  517 0.724 | B2   22 push         push           0.127  37.5  518 0.759 | 
07:34:57 | B1   25 hold         push           0.622  29.8  517 0.723 | B2   36 push         push           0.138  37.3  518 0.757 | 
07:35:13 | B1   26 hold         push           0.621  29.8  516 0.723 | B2   23 push         push           0.149  37.1  518 0.756 | 
07:35:29 | B1   27 hold         push           0.622  29.8  516 0.722 | B2   38 push         push           0.161  36.9  518 0.754 | 
07:35:44 | B1   28 hold         push           0.623  29.8  516 0.721 | B2   24 push         push           0.173  36.6  518 0.752 | 
07:35:59 | B1   29 hold         push           0.625  29.8  516 0.721 | B2                                                            | 
07:36:00 | B1                                                            | B2   40 push         push           0.185  36.4  517 0.751 | 
07:36:14 | B1   30 hold         push           0.629  29.7  516 0.719 | B2                                                            | 
07:36:15 | B1                                                            | B2   25 push         push           0.197  36.2  517 0.749 | 
07:36:41 | B1   31 hold         push           0.634  29.6  516 0.718 | B2   42 push         push           0.208  36.0  517 0.747 | 
07:36:57 | B1   32 hold         push           0.643  29.4  516 0.716 | B2   26 push         push           0.217  35.8  517 0.746 | 
07:37:12 | B1   33 hold         push           0.650  29.3  516 0.715 | B2   44 pause        push           0.226  35.6  517 0.744 | 
07:37:27 | B1                                                            | B2   27 pause        pause          0.847  24.5  516 0.689 | >>>> B2 PAUSE
07:37:28 | B1   34 hold         pause          0.852  24.8  516 0.673 | B2                                                            | >>>> B1 PAUSE
07:37:45 | B1   35 hold         pause          0.832  26.3  515 0.671 | B2   28 pause        pause          0.775  27.2  515 0.670 | 
07:38:01 | B1   36 hold         pause          0.809  26.7  515 0.668 | B2   29 pause        pause          0.832  26.3  515 0.666 | 
07:38:31 | B1   37 hold         pause          0.849  26.0  515 0.664 | B2                                                            | 
07:38:32 | B1                                                            | B2   30 pause        pause          0.831  26.3  515 0.664 | 
07:38:48 | B1   38 hold         pause          0.844  26.1  515 0.662 | B2                                                            | 
07:38:53 | B1                                                            | B2   31 pause        pause          0.829  26.4  515 0.663 | 
07:39:08 | B1   39 hold         pause          0.851  25.9  515 0.661 | B2                                                            | 
07:39:09 | B1                                                            | B2   32 pause        pause          0.831  26.3  515 0.663 | 
07:39:24 | B1   40 hold         pause          0.851  25.9  515 0.660 | B2   33 pause        pause          0.828  26.4  515 0.663 | 
07:39:39 | B1   41 hold         pause          0.851  25.8  515 0.660 | B2                                                            | 
07:39:40 | B1                                                            | B2   34 pause        pause          0.825  26.4  515 0.663 | 
07:39:55 | B1   42 hold         pause          0.851  25.8  515 0.659 | B2   35 pause        pause          0.821  26.5  515 0.663 | 
07:40:10 | B1   43 hold         pause          0.851  25.8  515 0.659 | B2                                                            | 
07:40:11 | B1                                                            | B2   36 pause        pause          0.817  26.6  515 0.663 | 
07:40:25 | B1   44 hold         pause          0.851  25.8  515 0.660 | B2                                                            | 
07:40:27 | B1                                                            | B2   37 pause        pause          0.814  26.6  515 0.664 | 
07:40:40 | B1   45 hold         pause          0.851  25.9  515 0.660 | B2                                                            | 
07:40:42 | B1                                                            | B2   38 pause        pause          0.811  26.7  515 0.664 | 
07:40:58 | B1   46 hold         pause          0.850  26.0  515 0.661 | B2                                                            | 
07:41:01 | B1                                                            | B2   39 pause        pause          0.809  26.7  515 0.665 | 
07:41:13 | B1   47 hold         pause          0.842  26.1  515 0.662 | B2                                                            | 
07:41:19 | B1                                                            | B2   40 pause        pause          0.808  26.7  515 0.665 | 
07:41:29 | B1   48 hold         pause          0.833  26.3  515 0.663 | B2                                                            | 
07:41:40 | B1                                                            | B2   41 cooldown                    0.476  32.8  482 0.616 | 
07:41:45 | B1   49 optimize                    0.000  30.9  596 0.989 | B2                                                            | 
07:41:58 | B1                                                            | B2   60 cooldown                    0.508  29.3  544 0.628 | 
07:42:00 | B1   63 hold_calib   hold_calib     0.788  27.6  557 0.753 | B2                                                            | B1 --> HOLD_CALIB
07:42:14 | B1                                                            | B2   42 cooldown                    0.359  33.8  552 0.506 | 
07:42:16 | B1   64 hold_calib   hold_calib     0.786  27.4  540 0.634 | B2                                                            | 
07:42:31 | B1                                                            | B2   62 cooldown                    0.458  34.5  579 0.585 | 
07:42:32 | B1   65 hold_calib   hold_calib     0.748  28.1  537 0.628 | B2                                                            | 
07:42:46 | B1                                                            | B2   43 cooldown                    0.000  30.1  606 0.955 | 
07:42:47 | B1   66 hold_calib   hold_calib     0.837  27.1  552 0.767 | B2                                                            | 
07:43:02 | B1                                                            | B2   64 optimize                    0.698  18.2  486 0.696 | 
07:43:03 | B1   67 hold_calib   hold_calib     0.827  23.8  503 0.665 | B2                                                            | 
07:43:17 | B1                                                            | B2   44 hold         hold_calib     0.737  27.6  509 0.660 | B2 --> HOLD_CALIB
07:43:19 | B1   68 hold_calib   hold_calib     0.677  28.7  510 0.671 | B2                                                            | 
07:43:33 | B1                                                            | B2   45 hold         hold_calib     0.843  26.0  513 0.666 | 
07:43:34 | B1   69 hold_calib   hold_calib     0.841  26.1  513 0.667 | B2                                                            | 
07:43:48 | B1                                                            | B2   46 hold         hold_calib     0.849  25.5  514 0.661 | 
07:43:50 | B1   70 hold_calib   hold_calib     0.815  26.6  514 0.664 | B2                                                            | 
07:44:06 | B1                                                            | B2   47 hold         hold_calib     0.850  25.9  515 0.660 | 
07:44:07 | B1   71 hold_calib   hold_calib     0.840  26.2  515 0.663 | B2                                                            | 
07:44:22 | B1   72 impulse_calib impulse_calib  0.183  36.6  516 0.715 | B2   48 hold         hold_calib     0.851  25.7  515 0.659 | ** B1 PROBE
07:44:38 | B1   50 push         push           0.301  34.5  517 0.732 | B2   49 hold         impulse_calib  0.609  30.0  516 0.702 | ** B2 PROBE
07:44:53 | B1   74 push         push           0.330  33.9  517 0.729 | B2   50 hold         push           0.747  27.7  516 0.703 | <<<< B2 PUSH
07:45:09 | B1   51 push         push           0.338  33.8  517 0.728 | B2   51 hold         push           0.699  28.5  516 0.703 | 
07:45:24 | B1                                                            | B2   52 hold         push           0.707  28.4  516 0.702 | 
07:45:26 | B1   76 push         push           0.369  33.3  516 0.725 | B2                                                            | 
07:45:40 | B1                                                            | B2   53 hold         push           0.703  28.5  516 0.701 | 
07:45:41 | B1   52 push         push           0.391  32.9  516 0.721 | B2                                                            | 
07:45:55 | B1                                                            | B2   54 hold         push           0.699  28.5  516 0.700 | 
07:45:57 | B1   78 push         push           0.416  32.4  516 0.718 | B2                                                            | 
07:46:10 | B1                                                            | B2   55 hold         push           0.698  28.5  516 0.699 | 
07:46:12 | B1   53 push         push           0.441  32.0  516 0.715 | B2                                                            | 
07:46:26 | B1                                                            | B2   56 hold         push           0.697  28.6  516 0.698 | 
07:46:27 | B1   80 push         push           0.464  31.6  516 0.712 | B2                                                            | 
07:46:41 | B1                                                            | B2   57 hold         push           0.698  28.5  515 0.696 | 
07:46:42 | B1   54 push         push           0.486  31.2  516 0.708 | B2                                                            | 
07:46:57 | B1                                                            | B2   58 hold         push           0.701  28.5  515 0.695 | 
07:46:58 | B1   82 push         push           0.507  30.8  515 0.705 | B2                                                            | 
07:47:12 | B1                                                            | B2   59 hold         push           0.707  28.4  515 0.693 | 
07:47:13 | B1   55 push         push           0.525  30.5  515 0.702 | B2                                                            | 
07:47:27 | B1                                                            | B2   60 hold         push           0.717  28.2  515 0.691 | 
07:47:29 | B1   84 push         push           0.541  30.2  515 0.700 | B2                                                            | 
07:47:43 | B1                                                            | B2   61 hold         push           0.729  28.0  515 0.689 | 
07:47:44 | B1   56 push         push           0.555  30.0  515 0.697 | B2                                                            | 
07:47:58 | B1                                                            | B2   62 hold         push           0.745  27.7  515 0.686 | 
07:48:00 | B1   86 push         push           0.565  29.8  515 0.695 | B2                                                            | 
07:48:15 | B1                                                            | B2   63 hold         push           0.765  27.4  515 0.684 | 
07:48:19 | B1   57 pause        push           0.574  29.6  515 0.693 | B2                                                            | 
07:48:30 | B1                                                            | B2   64 hold         push           0.788  27.0  515 0.681 | 
07:48:35 | B1   88 pause        pause          0.744  16.4  515 0.627 | B2                                                            | >>>> B1 PAUSE
07:48:46 | B1                                                            | B2   65 hold         pause          0.851  21.2  515 0.631 | >>>> B2 PAUSE
07:49:00 | B1   89 pause        pause          0.851  18.4  515 0.600 | B2                                                            | 
07:49:02 | B1                                                            | B2   66 hold         pause          0.851  23.7  515 0.623 | 
07:49:15 | B1   90 pause        pause          0.851  18.7  515 0.598 | B2                                                            | 
07:49:17 | B1                                                            | B2   67 hold         pause          0.851  22.2  515 0.618 | 
07:49:31 | B1   91 pause        pause          0.851  18.3  515 0.595 | B2                                                            | 
07:49:33 | B1                                                            | B2   68 hold         pause          0.851  21.9  515 0.613 | 
07:49:53 | B1   92 pause        pause          0.851  18.2  515 0.591 | B2   69 hold         pause          0.851  20.8  515 0.608 | 
07:50:12 | B1   93 pause        pause          0.851  18.4  515 0.591 | B2   70 hold         pause          0.851  20.1  515 0.601 | 
07:50:27 | B1   94 pause        pause          0.851  18.3  515 0.589 | B2                                                            | 
07:50:28 | B1                                                            | B2   71 hold         pause          0.851  19.5  515 0.595 | 
07:50:43 | B1   95 pause        pause          0.851  18.4  515 0.587 | B2   72 hold         pause          0.851  19.1  515 0.592 | 
07:50:58 | B1   96 pause        pause          0.851  18.5  515 0.587 | B2                                                            | 
07:50:59 | B1                                                            | B2   73 hold         pause          0.851  18.7  515 0.589 | 
07:51:14 | B1   97 pause        pause          0.851  18.4  515 0.585 | B2   74 hold         pause          0.851  18.4  515 0.586 | 
07:51:29 | B1   98 pause        pause          0.851  18.5  515 0.584 | B2   75 hold         pause          0.851  18.0  515 0.583 | 
07:51:47 | B1   99 pause        pause          0.851  18.5  515 0.584 | B2   76 hold         pause          0.838  17.8  515 0.581 | 
07:52:03 | B1  100 pause        pause          0.851  18.6  515 0.583 | B2   77 hold         pause          0.825  17.6  515 0.579 | 
07:52:18 | B1                                                            | B2   78 hold         pause          0.815  17.5  515 0.578 | 
07:52:19 | B1  101 pause        pause          0.851  18.6  515 0.583 | B2                                                            | 
07:52:33 | B1                                                            | B2   79 hold         pause          0.810  17.4  515 0.577 | 
07:52:34 | B1  102 cooldown                    0.654  21.6  465 0.532 | B2                                                            | 
07:52:48 | B1                                                            | B2   80 optimize                    0.565  30.1  552 0.800 | 
07:52:50 | B1   58 cooldown                    0.000  31.9  622 0.990 | B2                                                            | 
07:53:04 | B1                                                            | B2  102 hold_calib   hold_calib     0.899  19.2  560 0.752 | B2 --> HOLD_CALIB
07:53:06 | B1  104 cooldown                    0.210  18.8  548 0.409 | B2                                                            | 
07:53:20 | B1                                                            | B2  103 hold_calib   hold_calib     0.672  14.9  542 0.515 | 
07:53:21 | B1   59 cooldown                    0.704  25.1  517 0.866 | B2                                                            | 
07:53:35 | B1                                                            | B2  104 hold_calib   hold_calib     0.823  20.3  504 0.671 | 
07:53:36 | B1  106 cooldown                    0.854  25.9  581 0.591 | B2                                                            | 
07:53:51 | B1                                                            | B2  105 hold_calib   hold_calib     0.901  18.4  547 0.571 | 
07:54:07 | B1                                                            | B2  106 hold_calib   hold_calib     0.902  19.1  546 0.577 | 
07:54:23 | B1                                                            | B2  107 hold_calib   hold_calib     0.902  19.1  545 0.576 | 
